452429383	0	5 000 000 EUR
   Janvier 2018Mercredi 31/01/2018	4162629491	0	5 000 000 EUR
Lundi 29/01/2018	11212732366	0	4 000 000 EUR
Samedi 27/01/2018	91034394510	0	3 000 000 EUR
Mercredi 24/01/2018	9232835375	0	2 000 000 EUR
Lundi 22/01/2018	1111416312	0	5 000 000 EUR
Samedi 20/01/2018	27323844467	0	4 000 000 EUR
Mercredi 17/01/2018	4162540493	0	3 000 000 EUR
Lundi 15/01/2018	251522282	0	2 000 000 EUR
Samedi 13/01/2018	203135364810	0	4 000 000 EUR
Mercredi 10/01/2018	791618493	0	3 000 000 EUR
Lundi 08/01/2018	8374344452	0	2 000 000 EUR
Samedi 06/01/2018	6173140459	0	4 000 000 EUR
Mercredi 03/01/2018	4232734444	0	3 000 000 EUR
Lundi 01/01/2018	79101443
