Code acte;V1_Homme;V1_Femme;min;V2_CritŠre d'ƒge;V3.1_R‚alisable hors m‚decin traitant;V4.1_R‚alisable au cabinet;V4.2_R‚alisable en visite;V6_R‚alisable en urgence;V6_Majoration M;V7_R‚alisable en garde;"V8.2_Association
avec G, GS";V8.2_Association avec VG, VGS;V8_Majoration J;V8_Majoration R
MZMP004;1;1;0;150;1;1;1;1;1;1;0;0;0;0
MZMP006;1;1;0;150;1;1;1;1;1;1;0;0;0;0
MZMP013;1;1;0;150;1;1;1;1;1;1;0;0;0;0
YYYY011;1;1;0;150;1;1;1;1;0;1;0;0;0;0
MJPA010;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QCJA001;1;1;0;150;1;1;1;1;1;1;0;0;1;0
QAGA001;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QAGA002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QAGA003;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QAGA004;1;1;0;150;1;1;1;1;0;1;0;0;0;0
BACA008;1;1;0;150;1;1;1;1;1;1;0;0;0;0
BAPA002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
CAJA002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
GAJA002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
HAJA003;1;1;0;150;1;1;1;1;1;1;0;0;0;0
HAJA006;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA002;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA004;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA005;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA006;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QAJA012;1;1;0;150;1;1;1;1;1;1;0;0;1;0
QAJA013;1;1;0;150;1;1;1;1;1;1;0;0;0;0
EGJA001;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZGA003;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZGA004;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZGA006;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZGA007;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZJA001;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QZJA002;1;1;0;150;1;1;1;1;1;1;0;0;0;1
QZJA009;1;1;0;150;1;1;1;1;0;1;0;0;0;0
QZJA012;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QZJA015;1;1;0;150;1;1;1;1;1;1;0;0;0;1
QZJA016;1;1;0;150;1;1;1;1;1;1;0;0;0;0
QZJA017;1;1;0;150;1;1;1;1;1;1;0;0;0;1
QZJA021;1;1;0;150;1;1;1;1;1;1;0;0;1;0
QZJA022;1;1;0;150;1;1;1;1;1;1;0;0;1;0
QZJB002;1;1;0;150;1;1;1;1;0;1;0;0;0;0
GLQP012;1;1;0;150;1;1;1;0;0;1;0;0;0;0
ALQP003;1;1;0;150;1;1;1;0;0;1;0;0;0;0
ALQP006;1;1;0;150;1;1;1;0;0;1;0;0;0;0
NZHB002;1;1;0;150;1;1;1;0;0;1;0;0;0;0
NZLB001;1;1;0;150;1;1;1;0;0;1;0;0;0;0
AHLB006;1;1;0;150;1;1;1;0;0;1;0;0;0;0
MZHB002;1;1;0;150;1;1;1;0;0;1;0;0;0;0
MZLB001;1;1;0;150;1;1;1;0;0;1;0;0;0;0
YYYY010;1;1;0;150;1;1;1;1;1;1;0;0;0;0
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
;1;1;;;;;;;;;;;;
