Code acte;Tarif taux plein (en €);"Part AMO
(en €)";"Part AMC
(en €)";Nomenclature;Type
EGJA001;62.7;43.89;18.81;CCAM;ADC
QZGA003;60.27;42.189;18.081;CCAM;ADC
QZGA004;38.29;26.803;11.487;CCAM;ADC
QZGA006;84.37;59.059;25.311;CCAM;ADC
QZGA007;67.36;47.152;20.208;CCAM;ADC
QZJA001;85.08;59.556;25.524;CCAM;ADC
QZJA002;25.52;17.864;7.656;CCAM;ADC
QZJA009;38.29;26.803;11.487;CCAM;ADC
QZJA012;61.68;43.176;18.504;CCAM;ADC
QZJA015;61.68;43.176;18.504;CCAM;ADC
QZJA016;48.92;34.244;14.676;CCAM;ADC
QZJA017;51.76;36.232;15.528;CCAM;ADC
QZJA021;141.8;99.26;42.54;CCAM;ADC
QZJA022;80.83;56.581;24.249;CCAM;ADC
QZJB002;25.52;17.864;7.656;CCAM;ADC
GLQP012;40.28;28.196;12.084;CCAM;ATM
ALQP003;69.12;48.384;20.736;CCAM;ATM
ALQP006;69.12;48.384;20.736;CCAM;ATM
NZHB002;28.81;20.167;8.643;CCAM;ATM
NZLB001;30.82;21.574;9.246;CCAM;ATM
AHLB006;29.48;20.636;8.844;CCAM;ATM
MZHB002;28.81;20.167;8.643;CCAM;ATM
MZLB001;26.13;18.291;7.839;CCAM;ATM
YYYY010;48;33.6;14.4;CCAM;ATM
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
;;0;0;NGAP;
